iter	Passed	Remaining
0	1	122
1	2	141
2	4	135
3	5	124
4	5	110
5	6	99
6	6	90
7	7	89
8	9	92
9	10	92
10	11	94
11	12	89
12	13	87
13	14	87
14	15	87
15	16	88
16	18	89
17	19	86
18	19	83
19	20	81
20	21	81
21	23	81
22	24	82
23	25	80
24	26	78
25	27	78
26	28	77
27	30	77
28	31	77
29	32	75
30	33	73
31	34	73
32	35	72
33	37	71
34	37	69
35	38	68
36	39	67
37	40	66
38	42	65
39	43	65
40	44	63
41	44	61
42	45	60
43	47	60
44	48	59
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	62	45
58	63	43
59	64	43
60	65	42
61	66	41
62	68	39
63	69	38
64	70	37
65	71	36
66	72	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	81	25
76	82	24
77	83	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
