iter	Passed	Remaining
0	124	124595
1	125	62715
2	126	42060
3	127	31728
4	128	25527
5	129	21399
6	130	18461
7	131	16263
8	132	14555
9	133	13180
10	134	12057
11	135	11127
12	136	10344
13	137	9661
14	138	9066
15	138	8542
16	139	8082
17	142	7771
18	143	7403
19	144	7069
20	145	6771
21	146	6503
22	147	6253
23	148	6024
24	149	5813
25	149	5616
26	150	5432
27	151	5261
28	152	5104
29	153	4977
30	154	4839
31	155	4709
32	156	4587
33	157	4471
34	158	4362
35	159	4259
36	159	4163
37	160	4072
38	162	3997
39	163	3914
40	164	3836
41	164	3761
42	165	3689
43	166	3621
44	167	3557
45	168	3494
46	169	3433
47	170	3375
48	171	3319
49	171	3266
50	172	3214
51	173	3164
52	174	3117
53	175	3072
54	176	3029
55	177	2988
56	178	2947
57	179	2907
58	179	2869
59	180	2831
60	181	2795
61	182	2766
62	183	2732
63	184	2699
64	185	2667
65	186	2636
66	187	2605
67	187	2575
68	188	2546
69	189	2519
70	190	2493
71	191	2468
72	192	2443
73	193	2418
74	194	2394
75	195	2371
76	195	2348
77	196	2325
78	197	2303
79	198	2282
80	199	2261
81	200	2241
82	201	2221
83	203	2218
84	204	2202
85	205	2184
86	206	2166
87	207	2149
88	208	2132
89	209	2118
90	210	2105
91	211	2090
92	212	2076
93	213	2061
94	214	2045
95	215	2030
96	216	2016
97	217	2001
98	218	1986
99	219	1972
100	220	1958
101	220	1944
102	221	1931
103	222	1917
104	223	1905
105	224	1894
106	225	1883
107	226	1871
108	227	1859
109	228	1847
110	229	1836
111	230	1824
112	231	1813
113	231	1802
114	232	1791
115	233	1780
116	234	1768
117	235	1758
118	236	1748
119	236	1737
120	238	1731
121	239	1722
122	240	1713
123	241	1704
124	242	1695
125	243	1687
126	243	1676
127	244	1668
128	245	1659
129	246	1650
130	247	1642
131	248	1633
132	249	1624
133	250	1616
134	250	1607
135	251	1599
136	252	1591
137	253	1582
138	254	1575
139	255	1568
140	256	1561
141	256	1552
142	257	1544
143	258	1537
144	259	1530
145	260	1523
146	261	1517
147	262	1510
148	263	1503
149	264	1497
150	265	1491
151	266	1485
152	267	1479
153	268	1472
154	268	1466
155	269	1459
156	270	1453
157	271	1447
158	272	1441
159	273	1435
